Name,Type,Mass (ME),Radius (RE),Flux (SE),Teq (K),Period (days),Distance (ly),ESI
001. Teegarden's Star b,M-Warm Terran,≥1.05,—,1.15,264,4.9,12,0.95
002. TOI-700 d (N),M-Warm Terran,—,1.14,0.87,246,37.4,101,0.93
003. K2-72 e,M-Warm Terran,—,1.29,1.11,261,24.2,217,0.9
004. TRAPPIST-1 d,M-Warm Subterran,0.41,0.77,1.14,263,4,41,0.9
005. Kepler-1649 c (N),M-Warm Terran,—,1.06,0.75,237,19.5,301,0.9
006. Proxima Cen b,M-Warm Terran,≥1.27,—,0.7,228,11.2,4.2,0.87
007. GJ 1061 d (N),M-Warm Terran,≥1.64,—,0.69,218,13,12,0.86
008. GJ 1061 c (N),M-Warm Terran,≥1.74,—,1.45,275,6.7,12,0.86
009. Ross 128 b,M-Warm Terran,≥1.40,—,1.48,280,9.9,11,0.86
010. GJ 273 b,M-Warm Terran,≥2.89,—,1.06,258,18.6,12,0.85
011. TRAPPIST-1 e,M-Warm Terran,0.62,0.92,0.66,230,6.1,41,0.85
012. Kepler-442 b,K-Warm Terran,—,1.35,0.7,233,112.3,1193,0.84
013. Wolf 1061 c,M-Warm Terran,≥3.41,—,1.3,271,17.9,14,0.8
014. GJ 667 C c,M-Warm Terran,≥3.81,—,0.88,247,28.1,24,0.8
015. GJ 667 C f,M-Warm Terran,≥2.54,—,0.56,221,39,24,0.77
016. Kepler-1229 b,M-Warm Terran,—,1.4,0.49,213,86.8,865,0.73
017. TRAPPIST-1 f,M-Warm Terran,0.68,1.04,0.38,200,9.2,41,0.68
018. Kepler-62 f,K-Warm Terran,—,1.41,0.41,204,267.3,981,0.68
019. Teegarden's Star c,M-Warm Terran,≥1.11,—,0.37,199,11.4,12,0.68
020. Kepler-186 f,M-Warm Terran,—,1.17,0.29,188,129.9,579,0.61
021. GJ 667 C e,M-Warm Terran,≥2.54,—,0.3,189,62.2,24,0.6
022. tau Cet f,G-Warm Terran,≥3.93,—,0.32,190,636.1,12,0.58
023. TRAPPIST-1 g,M-Warm Terran,1.34,1.13,0.26,181,12.4,41,0.58
024. GJ 682 b,M-Warm Terran,≥4.40,—,0.31,190,17.5,16,0.57
