kelt_sourceid,kelt_field,kelt_orientation,proc_type,kelt_proc_version,ra,dec,kelt_mag,obsstart,obsstop,bjdstart,bjdstop,mean,stddevwrtmean,median,stddevwrtmedian,npts,n5sigma,f5sigma,medabsdev,chisquared,range595,minvalue,maxvalue
KELT_N02_lc_001388_V01_east,N02,east,raw,V01,21.59602,20.06730,10.416,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.450417,0.089404,10.435390,0.090659,1792,10,0.005580,0.012580,18610.842704,0.137390,9.763780,12.738040
KELT_N02_lc_001388_V01_east,N02,west,raw,V01,21.59602,20.06730,10.337,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.367870,0.124887,10.355590,0.125490,602,1,0.001661,0.018055,50739.963721,0.126340,10.292610,13.178850
KELT_N02_lc_001953_V01_east,N02,east,raw,V01,34.78578,19.68645,10.985,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.990094,0.020100,10.988280,0.020182,1792,5,0.002790,0.006225,223.723020,0.039520,10.849840,11.534050
KELT_N02_lc_009602_V01_east,N02,east,raw,V01,41.86608,19.36974,10.953,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.951413,0.020195,10.952100,0.020207,1792,9,0.005022,0.007535,270.232285,0.042310,10.697000,11.287500
KELT_N02_lc_008534_V01_east,N02,west,raw,V01,41.81501,22.95839,10.951,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.963413,0.119232,10.964275,0.119235,602,3,0.004983,0.014935,12409.187760,0.099270,8.389700,11.597960
KELT_N02_lc_010803_V01_east,N02,east,raw,V01,27.78917,20.51309,10.977,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.984297,0.013141,10.983050,0.013200,1792,12,0.006696,0.005520,143.054985,0.033240,10.954270,11.182290
KELT_N02_lc_003326_V01_east,N02,east,raw,V01,36.38153,29.88013,10.598,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.616391,0.024480,10.610690,0.025135,1792,18,0.010045,0.006795,1494.046153,0.048800,10.558440,10.864160
KELT_N02_lc_003326_V01_east,N02,west,raw,V01,36.38153,29.88013,10.675,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.689081,0.028539,10.682660,0.029253,602,3,0.004983,0.011505,1482.763787,0.084910,10.539030,10.882560
KELT_N02_lc_004471_V01_east,N02,east,raw,V01,37.66092,19.85373,10.358,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.386395,0.068329,10.373040,0.069623,1791,14,0.007817,0.016180,7728.808572,0.139790,9.852270,11.551570
KELT_N02_lc_004471_V01_east,N02,west,raw,V01,37.66092,19.85373,10.350,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.366431,0.045671,10.358185,0.046411,602,3,0.004983,0.012975,3347.793297,0.098740,10.276500,10.979700
