star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 3185,HIP 3185,HD 3795,GJ 27.2,2MASS J00403279-2348172,1,0,0,0,0,0,0,00h40m32.40s,-23d48m14.4s,28.89,0.29,-0.29,6.140,0.010,G,0.720,0.010,G,G3/5V,2.760,0.110,B-V
HIP 3203 A,HIP 3203 A,HD 3821,GJ 9020 A,2MASS J00404747-0713574,1,0,0,0,0,0,0,00h40m47.48s,-07d13m56.6s,26.50,0.54,-0.52,7.020,0.010,G,0.620,0.020,G,G2/3V,0.980,0.060,V-K
HIP 3206,HIP 3206,HD 3765,GJ 28,2MASS J00404929+4011133,1,0,0,0,0,0,0,00h40m49.00s,+40d11m19.7s,17.33,0.18,-0.17,7.360,0.010,G,0.940,0.020,G,K2V,0.370,0.050,V-K
HIP 3261,HIP 3261,,GJ 1016,2MASS J00413051-3337317,1,0,0,0,0,0,0,00h41m30.72s,-33d37m29.8s,19.53,0.81,-0.75,10.530,0.010,Koen,1.440,0.010,Koen,,0.060,0.110,V-K
HIP 3362,HIP 3362,,GJ 29.1,2MASS J00424820+3532554,1,0,0,0,0,0,0,00h42m48.06s,+35d32m55.0s,23.30,1.75,-1.52,10.440,0.230,VT,1.540,0.230,BVT-G-Red,M1Ve+...,0.120,0.440,V-K
HIP 3378,HIP 3378,,,2MASS J00425668+2239350,1,0,0,0,0,0,0,00h42m56.51s,+22d39m34.5s,28.93,2.86,-2.39,11.550,0.010,G,1.440,0.020,G,M1,0.050,0.220,V-K
HIP 3418,HIP 3418,,GJ 30,2MASS J00433289+3350412,1,0,0,0,0,0,0,00h43m33.00s,+33d50m43.6s,20.57,0.42,-0.40,8.730,0.010,G,1.130,0.020,G,K8,0.200,0.060,V-K
HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,-17d59m12.1s,29.53,,,2.020,0.020,VT-G,1.040,0.020,BVT-G-Red,K0III,151.950,0.060,V-K
HD 4308,HIP 3497,HD 4308,GJ 31.5,2MASS J00443925-6538581,1,0,0,0,0,1,1,00h44m39.04s,-65d38m51.8s,22.06,0.22,-0.22,6.550,0.000,G,0.660,0.010,G,G5V,1.070,0.030,V-K
HIP 3505,HIP 3505,HD 4247,GJ 31.3,2MASS J00444439-2200219,1,0,0,0,0,0,0,00h44m44.44s,-22d00m22.8s,26.75,0.27,-0.26,5.220,0.020,VT,0.320,0.020,BVT-G-Blue,F0V,4.850,0.040,V-K
HIP 3535,HIP 3535,HD 4256,GJ 31.4,2MASS J00450489+0147077,1,0,0,0,0,0,0,00h45m04.92s,+01d47m12.9s,21.57,0.22,-0.21,8.000,0.010,Koen,1.020,0.010,Koen,K3V,0.320,0.050,V-K
HIP 3583,HIP 3583,HD 4391,GJ 1021,2MASS J00454561-4733072,1,0,0,0,0,0,0,00h45m45.43s,-47d33m07.8s,15.16,0.15,-0.15,5.800,0.000,G,0.640,0.000,G,G1V,0.980,0.020,V-K
HIP 3588 A,HIP 3588 A,HD 4378 A,GJ 32 A,2MASS J00454828-4154330,1,0,0,0,0,0,0,00h45m48.05s,-41d54m32.4s,15.82,0.32,-0.31,7.880,0.010,Koen,1.260,0.010,Koen,K5/M0V,0.200,0.110,B-V
HIP 3645,HIP 3645,HD 4449,,2MASS J00464052-0425371,1,0,0,0,0,0,0,00h46m40.52s,-04d25m35.1s,28.76,2.50,-2.13,7.570,0.000,G,0.820,0.010,G,K0/1V,0.790,0.180,V-K
HIP 3757,HIP 3757,,,2MASS J00481333-0508074,1,0,0,0,0,0,0,00h48m13.23s,-05d08m06.6s,23.77,2.35,-1.96,12.050,0.020,G,1.510,0.020,G,M2.5V,0.030,0.240,V-K
HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,+05d17m00.2s,7.45,,,5.740,0.010,G,0.890,0.010,G,K1V,0.300,0.050,V-K
HIP 3810,HIP 3810,HD 4676,GJ 34.1,2MASS J00485869+1656266,1,0,0,0,0,0,0,00h48m58.71s,+16d56m28.1s,23.45,0.24,-0.23,5.060,0.020,VT,0.500,0.000,G,F8V...,4.490,0.100,B-V
HIP 3813,HIP 3813,,GJ 3059,2MASS J00490173-5008419,1,0,0,0,0,0,0,00h49m01.48s,-50d08m39.8s,21.59,0.90,-0.83,10.730,0.010,Koen,1.460,0.010,Koen,M2,0.060,0.140,V-K
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,+57d48m59.6s,5.94,0.06,-0.06,3.450,0.020,VT,0.570,0.020,BVT-Red,G3V,1.310,0.060,V-K
HIP 3829,HIP 3829,,GJ 35,2MASS J00490996+0523173,1,0,0,0,0,0,0,00h49m09.18s,+05d23m42.7s,4.30,,,12.370,0.000,G,0.550,0.000,G,DZ7,0.000,0.030,V-K
