star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 3419,HIP 3419,HD 4128,GJ 31,2MASS J00433536-1759117,1,1,0,0,0,0,0,00h43m35.23s,-17d59m12.1s,29.53,,,2.020,0.020,VT-G,1.040,0.020,BVT-G-Red,K0III,151.950,0.060,V-K
HIP 3765,HIP 3765,HD 4628,GJ 33,2MASS J00482303+0516497,1,1,1,1,1,1,0,00h48m22.53s,+05d17m00.2s,7.45,,,5.740,0.010,G,0.890,0.010,G,K1V,0.300,0.050,V-K
HIP 3821 A,HIP 3821 A,HD 4614,GJ 34 A,2MASS J00490622+5748545,1,1,1,1,0,1,0,00h49m05.10s,+57d48m59.6s,5.94,0.06,-0.06,3.450,0.020,VT,0.570,0.020,BVT-Red,G3V,1.310,0.060,V-K
HIP 3909,HIP 3909,HD 4813,GJ 37,2MASS J00500759-1038394,1,0,1,0,0,0,0,00h50m07.72s,-10d38m37.6s,15.75,0.16,-0.16,5.160,0.020,VT,0.510,0.010,G,F7V,1.850,0.100,B-V
HIP 4151,HIP 4151,HD 5015,GJ 41,2MASS J00530419+6107262,1,1,0,0,0,0,0,00h53m04.28s,+61d07m24.8s,18.74,0.19,-0.19,4.800,0.010,G,0.540,0.010,G,F8V,3.660,0.050,V-K
HIP 5336,HIP 5336,HD 6582,GJ 53 A,2MASS J01081597+5455148 A,1,1,1,0,0,0,0,01h08m12.92s,+54d55m27.2s,7.55,0.08,-0.07,5.170,0.000,G,0.700,0.000,G,G5Vp,0.460,0.100,B-V
HIP 5862,HIP 5862,HD 7570,GJ 55,2MASS J01151112-4531540,1,1,1,0,0,0,0,01h15m10.57s,-45d31m55.5s,15.11,,,4.960,0.020,VT,0.570,0.010,G,G0V,2.070,0.060,V-K
ups And,HIP 7513,HD 9826,GJ 61 A,2MASS J01364784+4124200,1,1,1,0,1,1,3,01h36m47.98s,+41d24m23.0s,13.49,,,4.090,0.020,VT,0.540,0.010,G,F8V,3.640,0.060,V-K
HIP 7751 B,HIP 7751 B,HD 10360,GJ 66 B,2MASS J01394755-5611471,1,0,1,0,0,0,0,01h39m47.24s,-56d11m47.2s,7.82,0.16,-0.15,5.680,0.020,VT,0.860,0.020,BVT-G-Red,K0/4,0.340,0.110,B-V
HIP 7918,HIP 7918,HD 10307,GJ 67,2MASS J01414714+4236483,1,1,1,1,0,0,0,01h41m46.52s,+42d36m49.7s,12.74,0.13,-0.13,4.960,0.000,G,0.620,0.000,G,G2V,1.490,0.050,V-K
HD 10647,HIP 7978,HD 10647,GJ 3109,2MASS J01422932-5344271,1,0,1,0,0,1,1,01h42m29.15s,-53d44m26.1s,17.43,,,5.520,0.020,VT,0.530,0.020,BVT-Red,F8V,1.640,0.100,B-V
HIP 7981,HIP 7981,HD 10476,GJ 68,2MASS J01422977+2016073,1,1,1,1,1,1,0,01h42m29.95s,+20d16m12.5s,7.53,,,5.240,0.010,G,0.840,0.010,G,K1V,0.470,0.050,V-K
HIP 171,HIP 171,HD 224930,GJ 914 A,2MASS J00021014+2704570 A,1,0,1,0,0,0,0,00h02m09.65s,+27d05m04.2s,12.17,0.38,-0.35,5.800,0.010,G,0.690,0.020,G,G3V,0.700,0.090,V-K
HD 142,HIP 522,HD 142,GJ 4.2 A,2MASS J00061921-4904307 A,1,1,0,0,0,1,2,00h06m18.66s,-49d04m30.3s,25.71,0.26,-0.25,5.700,0.020,VT,0.520,0.010,G,F7V,3.000,0.110,B-V
HIP 544,HIP 544,HD 166,GJ 5,2MASS J00063674+2901175,1,0,1,0,0,1,0,00h06m36.53s,+29d01m19.0s,13.67,0.14,-0.14,6.060,0.020,VT,0.750,0.000,G,K0V,0.680,0.110,B-V
HIP 677,HIP 677,HD 358,,2MASS J00082326+2905253,1,1,0,0,0,0,0,00h08m23.17s,+29d05m27.0s,29.74,0.30,-0.29,2.060,0.010,VT,-0.050,0.010,BVT-Blue,B9p,251.040,0.060,V-K
