kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
10265898,K00732.03,,CANDIDATE,CANDIDATE,,0,0,0,0,5.25449393,5.613e-05,-5.613e-05,132.55624,0.00796,-0.00796,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h13m18.70s,+47d22m53.7s,15.342,
10271806,K00733.01,Kepler-224 c,CONFIRMED,CANDIDATE,,0,0,0,0,5.924993927,7.626e-06,-7.626e-06,169.71629,0.00101,-0.00101,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h23m44.23s,+47d21m27.4s,15.644,
10271806,K00733.02,Kepler-224 d,CONFIRMED,CANDIDATE,,0,0,0,0,11.34934848,2.442e-05,-2.442e-05,134.31805,0.0018,-0.0018,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h23m44.23s,+47d21m27.4s,15.644,
10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,,0,0,0,0,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h42m35.69s,+48d29m44.0s,12.772,
10271806,K00733.03,Kepler-224 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.13295351,1.017e-05,-1.017e-05,135.67494,0.0025,-0.0025,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h23m44.23s,+47d21m27.4s,15.644,
10271806,K00733.04,Kepler-224 e,CONFIRMED,CANDIDATE,,0,0,0,0,18.64349986,6.489e-05,-6.489e-05,141.62687,0.00288,-0.00288,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h23m44.23s,+47d21m27.4s,15.644,
10272442,K00734.01,Kepler-657 b,CONFIRMED,CANDIDATE,,0,0,0,0,24.5434566,5.953e-05,-5.953e-05,187.92215,0.00188,-0.00188,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h24m47.35s,+47d18m28.1s,15.344,
10272442,K00734.02,,CANDIDATE,CANDIDATE,,0,0,0,0,70.2780911,0.0003567,-0.0003567,151.32941,0.0042,-0.0042,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h24m47.35s,+47d18m28.1s,15.344,
10287242,K00735.01,,CANDIDATE,CANDIDATE,,0,0,0,0,22.34213536,9.353e-05,-9.353e-05,171.55939,0.00268,-0.00268,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h46m46.41s,+47d23m31.7s,15.637,
10340423,K00736.01,Kepler-225 c,CONFIRMED,CANDIDATE,,0,0,0,0,18.79418506,4.465e-05,-4.465e-05,177.79426,0.00184,-0.00184,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h28m46.55s,+47d27m25.5s,15.962,
10340423,K00736.02,Kepler-225 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.73893544,2.687e-05,-2.687e-05,135.28218,0.00317,-0.00317,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h28m46.55s,+47d27m25.5s,15.962,
10340423,K00736.03,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,345.98207283,,,392.1763832,,,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h28m46.55s,+47d27m25.5s,15.962,
10345478,K00737.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,14.49839316,1.349e-05,-1.349e-05,182.679596,0.000744,-0.000744,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h36m29.04s,+47d24m31.6s,15.684,
10358759,K00738.01,Kepler-29 b,CONFIRMED,CANDIDATE,,0,0,0,0,10.3392408,1.722e-05,-1.722e-05,170.38549,0.00123,-0.00123,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h53m23.60s,+47d29m28.4s,15.282,
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h29m05.70s,+37d40m17.6s,12.394,
10358759,K00738.02,Kepler-29 c,CONFIRMED,CANDIDATE,,0,0,0,0,13.28689997,2.775e-05,-2.775e-05,172.11932,0.00165,-0.00165,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h53m23.60s,+47d29m28.4s,15.282,
10386984,K00739.01,Kepler-658 b,CONFIRMED,CANDIDATE,,0,0,0,0,1.287076693,1.2e-06,-1.2e-06,169.815491,0.000744,-0.000744,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,18h51m56.11s,+47d34m42.9s,15.488,
10395381,K00740.01,Kepler-659 b,CONFIRMED,CANDIDATE,,0,0,0,0,17.6717714,5.356e-05,-5.356e-05,186.3704,0.00252,-0.00252,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h10m25.96s,+47d30m34.9s,15.556,
10418797,K00741.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,23.355341391,2.817e-06,-2.817e-06,169.8339432,9.05e-05,-9.05e-05,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h47m49.74s,+47d33m13.7s,15.278,
8672910,K00918.01,Kepler-725 b,CONFIRMED,CANDIDATE,,0,0,0,0,39.6431552,1.041e-05,-1.041e-05,206.596798,0.000202,-0.000202,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,18h55m54.60s,+44d48m41.6s,15.011,
8672910,K00918.02,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,5.71489488,1.377e-05,-1.377e-05,134.87432,0.00199,-0.00199,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,18h55m54.60s,+44d48m41.6s,15.011,
8686150,K00919.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,51.42598578,1.279e-05,-1.279e-05,173.535933,0.000196,-0.000196,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h22m33.36s,+44d48m24.4s,15.631,
8689031,K00920.01,Kepler-726 b,CONFIRMED,CANDIDATE,,0,0,0,0,21.80451611,4.733e-05,-4.733e-05,190.49737,0.00171,-0.00171,,,,,,,,,,,,,,,,,,,,,q1_q17_dr25_tce,,,,,,,,,,19h26m52.16s,+44d53m14.3s,15.067,
