kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
9388479,K00936.02,Kepler-732 c,CONFIRMED,CANDIDATE,,,,,,0.8930477,2.8e-06,-2.8e-06,134.53814,0.00038,-0.00038,0.75,0.21,-0.21,1.1894,,,738,,,1.47,0.12,-0.12,973.0,,,,,,102.70,,,3834.00,200.00,-200.00,4.760,0.300,-0.300,0.4960,0.0230,-0.0230,18h54m55.69s,+45d57m31.6s,15.073,
8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,,,,,,3.57878272,5.4e-07,-5.4e-07,134.029405,5.1e-05,-5.1e-05,0.025,0.1,-0.1,2.8982,,,11445,,,10.93,0.47,-0.47,1189.0,,,,,,2178.00,,,5731.00,50.00,-50.00,4.450,0.100,-0.100,1.0390,0.0450,-0.0450,19h18m25.91s,+44d20m43.5s,13.938,
9406990,K00937.01,Kepler-733 b,CONFIRMED,CANDIDATE,,,,,,20.83495,0.00018,-0.00018,176.578,0.0032,-0.0032,0.34,0.99,-0.99,4.0548,,,994,,,2.42,0.84,-0.84,559.0,,,,,,46.30,,,5429.00,102.00,-102.00,4.600,0.300,-0.300,0.7800,0.2400,-0.2400,19h32m04.39s,+45d54m52.9s,15.412,
9415172,K00938.01,Kepler-255 c,CONFIRMED,CANDIDATE,,,,,,9.946049,6.7e-05,-6.7e-05,171.7003,0.0024,-0.0024,0.83,0.13,-0.13,3.4912,,,1034,,,2.9,1.4,-1.4,729.0,,,,,,54.70,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,0.8000,0.3800,-0.3800,19h44m15.42s,+45d58m36.6s,15.596,
9415172,K00938.02,Kepler-255 d,CONFIRMED,CANDIDATE,,,,,,1.045632,1.4e-05,-1.4e-05,133.9141,0.0024,-0.0024,0.77,0.18,-0.18,1.8348,,,214,,,1.28,0.62,-0.62,1561.0,,,,,,27.50,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,0.8000,0.3800,-0.3800,19h44m15.42s,+45d58m36.6s,15.596,
9415172,K00938.03,Kepler-255 b,CONFIRMED,NOT DISPOSITIONED,,,,,,5.71442,0.0001,-0.0001,132.6477,0.0064,-0.0064,0.892,0.1,-0.1,2.322,,,284,,,1.61,0.78,-0.78,878.0,,,,,,17.10,,,5463.00,128.00,-128.00,4.580,0.300,-0.300,0.8000,0.3800,-0.3800,19h44m15.42s,+45d58m36.6s,15.596,
9466668,K00939.01,Kepler-256 c,CONFIRMED,CANDIDATE,,,,,,3.388008,3.4e-05,-3.4e-05,170.5325,0.003,-0.003,0.54,0.16,-0.16,2.7145,,,282,,,1.54,0.77,-0.77,1165.0,,,,,,33.50,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,19h30m19.31s,+46d05m50.6s,15.065,
9466668,K00939.02,Kepler-256 d,CONFIRMED,NOT DISPOSITIONED,,,,,,5.839061,7.7e-05,-7.7e-05,132.0944,0.0046,-0.0046,0.59,0.15,-0.15,3.1245,,,276,,,1.54,0.77,-0.77,973.0,,,,,,26.40,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,19h30m19.31s,+46d05m50.6s,15.065,
9466668,K00939.03,Kepler-256 b,CONFIRMED,NOT DISPOSITIONED,,,,,,1.620436,2.2e-05,-2.2e-05,132.0694,0.0034,-0.0034,0.53,0.15,-0.15,2.1337,,,146,,,1.11,0.56,-0.56,1487.0,,,,,,24.10,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,19h30m19.31s,+46d05m50.6s,15.065,
9466668,K00939.04,Kepler-256 e,CONFIRMED,NOT DISPOSITIONED,,,,,,10.68176,0.00018,-0.00018,131.55,0.0062,-0.0062,0.66,0.13,-0.13,3.5771,,,296,,,1.62,0.81,-0.81,793.0,,,,,,24.70,,,5870.00,159.00,-159.00,4.540,0.300,-0.300,0.8900,0.4400,-0.4400,19h30m19.31s,+46d05m50.6s,15.065,
9479273,K00940.01,Kepler-734 b,CONFIRMED,CANDIDATE,,,,,,6.104862,1.1e-05,-1.1e-05,169.57151,0.00055,-0.00055,0.018,0.1,-0.1,4.6174,,,2080,,,3.5,2.1,-2.1,856.0,,,,,,318.60,,,5482.00,118.00,-118.00,4.590,0.300,-0.300,0.7900,0.4800,-0.4800,19h48m10.95s,+46d01m38.5s,15.017,
10166274,K01078.02,Kepler-267 c,CONFIRMED,NOT DISPOSITIONED,,,,,,6.877458,3.6e-05,-3.6e-05,132.0839,0.0018,-0.0018,0.84,0.57,-0.57,1.4602,,,1458,,,2.32,0.62,-0.62,543.0,,,,,,45.70,,,4081.00,200.00,-200.00,4.740,0.300,-0.300,0.5270,0.0290,-0.0290,19h59m19.30s,+47d09m26.9s,15.438,
10166274,K01078.03,Kepler-267 d,CONFIRMED,NOT DISPOSITIONED,,,,,,28.46381,0.00028,-0.00028,158.0454,0.0032,-0.0032,0.69,0.99,-0.99,2.9609,,,1698,,,2.31,0.63,-0.63,337.0,,,,,,32.10,,,4081.00,200.00,-200.00,4.740,0.300,-0.300,0.5270,0.0290,-0.0290,19h59m19.30s,+47d09m26.9s,15.438,
