pl_name,rastr,decstr,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_distlim,ml_dists,ml_distserr1,ml_distserr2,ml_distslim,ml_tsepmin,ml_tsepminerr1,ml_tsepminerr2,ml_tsepminlim,ml_sepminnorm,ml_sepminnormerr1,ml_sepminnormerr2,ml_sepminnormlim,ml_xtimeein,ml_xtimeeinerr1,ml_xtimeeinerr2,ml_xtimeeinlim,ml_radsnorm,ml_radsnormerr1,ml_radsnormerr2,ml_radsnormlim,ml_sepinsnorp,ml_sepinsnorperr1,ml_sepinsnorperr2,ml_sepinsnorplim,ml_massratio,ml_massratioerr1,ml_massratioerr2,ml_massratiolim,ml_angstlax,ml_angstlaxerr1,ml_angstlaxerr2,ml_angstlaxlim,ml_magis,ml_magiserr1,ml_magiserr2,ml_magislim,ml_magibl,ml_magiblerr1,ml_magiblerr2,ml_magibllim,ml_radeinang,ml_radeinangerr1,ml_radeinangerr2,ml_radeinanglim,ml_pmrells,ml_pmrellserr1,ml_pmrellserr2,ml_pmrellslim,ml_modeldef
KMT-2019-BLG-1953L b,17h56m27.90s,-28d12m04.00s,,,,0,,,,0,,,,0,,,,,,,,,8000.0,,,0.0,2458702.012,0.001,-0.001,0.0,0.00236,0.00025,-0.00025,0.0,16.18,0.24000000000000002,-0.24000000000000002,0.0,2.4,0.04,-0.04,0.0,2.3,0.36,-0.36,0.0,19.1,9.2,-9.2,0.0,2.5,0.029,-0.029,0.0,20.68,0.01,-0.01,0.0,,,,,0.25,0.02,-0.02,0.0,5.7,0.46,-0.46,0.0,0
MOA-2013-BLG-605L b,17h58m42.85s,-29d23m53.66s,20.58,0.56,-6.66,0,0.06475,0.0018,-0.021,0,4.18,0.23,-0.9600000000000001,0,0.198,0.007,-0.065,0.0,3550.0,200.0,-780.0,0.0,,,,,2456573.054,0.009000000000000001,-0.009000000000000001,0.0,-0.0796,0.00147,-0.00147,0.0,19.83,0.23,-0.23,0.0,3.7199999999999998,0.08,-0.08,0.0,2.344,0.012,-0.012,0.0,3.124,0.12000000000000001,-0.12000000000000001,0.0,3.1568,0.0058000000000000005,-0.0058000000000000005,0.0,18.112,0.018000000000000002,-0.018000000000000002,0.0,18.588,0.028,-0.028,0.0,0.503,0.034,-0.034,0.0,9.03,0.63,-0.63,0.0,0
KMT-2019-BLG-1953L b,17h56m27.90s,-28d12m04.00s,,,,0,,,,0,,,,0,,,,,,,,,8000.0,,,0.0,2458702.015,0.002,-0.002,0.0,0.0010400000000000001,0.00024,-0.00024,0.0,16.02,0.26,-0.26,0.0,2.41,0.04,-0.04,0.0,0.41000000000000003,0.1,-0.1,0.0,18.2,19.2,-19.2,0.0,2.433,0.07,-0.07,0.0,20.68,0.01,-0.01,0.0,,,,,0.25,0.02,-0.02,0.0,5.7,0.46,-0.46,0.0,0
OGLE-2005-BLG-390L b,17h54m19.2s,-30d22m38s,5.5,5.5,-2.7,0,0.017,0.017,-0.009000000000000001,0,2.6,1.5,-0.6,0,0.22,0.21,-0.11,0.0,6600.0,1000.0,-1000.0,0.0,8000.0,1910.0,-1910.0,0.0,2453582.735,0.005,-0.005,0.0,0.359,0.005,-0.005,0.0,11.03,0.11,-0.11,0.0,,,,,1.6099999999999999,0.008,-0.008,0.0,0.76,0.07,-0.07,0.0,2.7560000000000002,0.003,-0.003,0.0,,,,,,,,,,,,,,,,,1
OGLE-2012-BLG-0950L b,18h08m04.62s,-29d43m53.7s,36.0,8.0,-6.0,0,0.11,0.030000000000000002,-0.02,0,2.7,0.1,-0.4,0,0.55,0.030000000000000002,-0.09,0.0,3400.0,400.0,-900.0,0.0,,,,,2456151.48,0.030000000000000002,-0.030000000000000002,0.0,-0.1,0.003,-0.003,0.0,68.5,1.6,-1.6,0.0,3.0,,,1.0,0.893,0.006,-0.006,0.0,1.9,0.5,-0.2,0.0,1.195,0.004,-0.007,0.0,19.3,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.86,0.15,-0.060000000000000005,0.0,4.6,0.9,-0.3,0.0,0
OGLE-2016-BLG-1067L b,18h12m49.08s,-27d00m45.5s,140.0,70.0,-57.0,0,0.43,0.22,-0.18,0,1.71,0.39,-0.42,0,0.31,0.16,-0.13,0.0,3780.0,680.0,-700.0,0.0,7660.0,,,0.0,2457564.312,0.063,-0.063,0.0,-0.442,0.029,-0.031,0.0,27.6,1.3,-1.2,0.0,4.8,,,1.0,0.785,0.01,-0.011000000000000001,0.0,13.17,0.33,-0.31,0.0,1.43,0.006,-0.006,0.0,18.8,,,0.0,,,,,,,,,,,,,0
OGLE-2005-BLG-071L b,17h50m09.77s,-34d40m23.5s,,,,0,,,,0,,,,0,0.29,0.21,-0.21,0.0,3250.0,1750.0,-1750.0,0.0,,,,,2453480.6791,0.002,-0.002,0.0,1.294,0.002,-0.002,0.0,70.9,3.3,-3.3,0.0,,,,,1.294,0.002,-0.002,0.0,71.0,3.0,-3.0,0.0,4.786,0.001,-0.001,0.0,19.53,,,0.0,21.29,,,0.0,,,,,,,,,0
OGLE-2018-BLG-0740L b,18h08m42.47s,-29d50m08.9s,350.0,200.0,-200.0,0,1.1,0.7000000000000001,-0.6,0,1.5,0.2,-0.2,0,0.47000000000000003,0.31,-0.24000000000000002,0.0,7200.0,900.0,-1000.0,0.0,8000.0,,,0.0,2458254.347,0.031,-0.031,0.0,0.038,0.003,-0.003,0.0,62.63,4.37,-4.37,0.0,0.99,0.1,-0.1,0.0,0.91,0.01,-0.01,0.0,23.0,1.8,-1.8,0.0,2.52,0.009000000000000001,-0.009000000000000001,0.0,21.54,0.01,-0.01,0.0,17.13,,,0.0,0.28,0.04,-0.04,0.0,1.65,0.23,-0.23,0.0,0
OGLE-2017-BLG-0373L b,17h57m19.06s,-31d57m06.2s,60.1,85.8,-36.9,0,0.189,0.27,-0.116,0,2.575,0.85,-0.878,0,0.276,0.296,-0.148,0.0,5810.0,1133.0,-1523.0,0.0,,,,,2457840.636,0.054,-0.054,0.0,0.371,0.015000000000000001,-0.015000000000000001,0.0,12.849,0.34900000000000003,-0.34900000000000003,0.0,2.466,0.201,-0.201,0.0,1.349,0.011000000000000001,-0.011000000000000001,0.0,6.51,1.13,-1.13,0.0,2.465,0.011000000000000001,-0.011000000000000001,0.0,,,,,,,,,0.317,0.035,-0.035,0.0,8.91,0.098,-0.098,0.0,0
OGLE-2007-BLG-368L b,17h56m25.96s,-32d14m14.7s,20.0,7.0,-8.0,0,0.060000000000000005,0.02,-0.030000000000000002,0,2.8,0.5,-0.6,0,0.64,0.21,-0.26,0.0,5900.0,900.0,-1400.0,0.0,,,,,2454311.12,0.01,-0.01,0.0,0.0793,0.0007,-0.0007,0.0,55.4,0.5,-0.5,0.0,1.55,0.030000000000000002,-0.030000000000000002,0.0,0.9255,0.0006000000000000001,-0.0006000000000000001,0.0,0.9500000000000001,0.02,-0.02,0.0,0.47800000000000004,0.002,-0.002,0.0,19.51,0.030000000000000002,-0.030000000000000002,0.0,,,,,0.529,0.084,-0.084,0.0,3.5,0.6,-0.6,0.0,1
